author,gender
"Daudet, Ernest, 1837-1921",X
"Ryan, Marah Ellis, 1866-1934",X
"Marshall, Archibald, 1866-1934",X
"Machado de Assis, 1839-1908",X
"Garson, Clee",X
"Lea, Homer, 1876-1912",X
"Kavanagh, Julia, 1824-1877",X
"Dowson, Ernest Christopher, 1867-1900",X
"Bridges, T. C. (Thomas Charles), 1868-",X
"Glad, Victoria",X
"Ruck, Berta, 1878-1978",X
"Sholem Aleichem, 1859-1916",X
"Loomis, Charles Battell, 1861-1911",X
"Richardson, Major (John), 1796-1852",X
"Molesworth, Mrs., 1839-1921",X
"Beecham, John Charles",X
"Kennan, George, 1845-1924 [Author of introduction, etc.]",X
"Libbey, Laura Jean, 1862-1924",X
"Hughes, Thomas, 1822-1896",X
"Bateman, May",X
"Dostoyevsky, Fyodor, 1821-1881 [Contributor]",X
"Doede, William R., 1918-",X
"Walker, George Henry",X
"Egerton, George, 1859-1945 [Contributor]",X
"Paris, John, 1889-1976?",X
"Williams, Ben Ames, 1889-1953",X
"Parish, John Carl, 1881-1939",X
"Hering, Henry Augustus, 1864-",X
"Onions, Oliver, 1873-1961",X
"Goodwin, Wilder",X
"Jepson, Edgar, 1863-1938 [Translator]",X
"Collins, Wilkie, 1824-1889 [Contributor]",X
"Robertson, Morgan, 1861-1915",X
"Butler, Samuel, 1835-1902",X
"Miller, Alex. McVeigh, Mrs., 1850-1937",X
"Langford, George, 1876-",X
"Dilke, Charles Wentworth, Sir, 1843-1911",X
"Flygare-Carlén, Emilie, 1807-1892",X
"Peek, Hedley, 1858-1904",X
"Hamilton, William T.",X
"More, Paul Elmer, 1864-1937",X
"Farr, Julia",X
"Lucas, E. V. (Edward Verrall), 1868-1938",X
"Diver, Maud, 1867-1945",X
"Borrow, George, 1803-1881 [Dubious author]",X
"Goff, H. N. K. (Harriet Newell Kneeland), 1828-",X
"White, Stephen W. (Stephen William), 1840-1914 [Translator]",X
"Kennedy, Sidney R. (Sidney Robinson), 1875-",X
"Crawford, Jack Randall, 1878-1968",X
"Johnson, Owen, 1878-1952",X
"Weekes, R. K. (Rose Kirkpatrick), 1874-",X
"Blackwood, Algernon, 1869-1951 [Contributor]",X
"Stringer, Arthur, 1874-1950",X
"Abbott, Keene, 1876-1941",X
"Slavici, Ioan, 1848-1925 [Contributor]",X
"Allen, James Lane, 1849-1925",X
"Woodrow, Wilson, Mrs., 1870?-1935",X
"Buchan, John, 1875-1940",X
"Metcalfe, Cranstoun [Translator]",X
"Bennett, Henry Holcomb, 1863-1924",X
"Hale, Beatrice Forbes-Robertson, 1883-1967",X
"Clinton, Ed M., 1926-2006",X
"Norris, Edith Mary, 1858- [Translator]",X
"Krepps, Robert W., 1919-1980",X
"Sala, George Augustus, 1828-1895",X
"Corkran, Sutton Fraser [Translator]",X
"Vorse, Mary Heaton, 1874-1966 [Contributor]",X
"Martorell, Joanot, -1468",X
"Liljencrantz, Ottilie A. (Ottilia Adelina), 1876-1910",X
"Kilpatrick, Florence A. (Florence Antoinette), 1888-",X
"Crane, Oliver",X
"Lewis, M. G. (Matthew Gregory), 1775-1818",X
"Withrow, W. H. (William Henry), 1839-1908",X
"Swift, Ike",X
"Taylor, Harold A. [Photographer]",X
"Chesney, George Tomkyns, 1830-1895",X
"Mikszáth, Kálmán, 1847-1910",X
"Perrin, Alice, 1867-1934",X
"Bone, Gertrude, 1876-1962",X
"Cobbold, Richard, 1797-1877",X
"Meek, S. P. (Sterner St. Paul), 1894-1972",X
"Howitt, Mary (Mary Botham), 1799-1888 [Translator]",X
"Tressell, Robert, 1870-1911",X
"Furphy, Joseph, 1843-1912",X
"Kyle, George A. (George Alexander), 1872-",X
"Fletcher, J. S. (Joseph Smith), 1863-1935",X
"Wood, Clement, 1888-1950",X
"Arthur, T. S. (Timothy Shay), 1809-1885",X
"Burr, Jane",X
"Hughes, Rupert, 1872-1956",X
"Barrie, J. M. (James Matthew), 1860-1937 [Contributor]",X
